kairin/.password-store	private	2025-04-27T10:56:11Z	here lies all the passwords
kairin/000-dotfiles	public	2026-02-07T22:31:10Z	LLM CLI tools sudoers configuration and system setup for Ubuntu 25.04+ with uv package manager integration
kairin/001-agents-manager	public	2025-10-21T23:44:57Z	Universal Claude Code agents management system with automatic synchronization across all machines
kairin/002-mcp-manager	public	2026-01-05T20:08:14Z	MCP Manager - A comprehensive tool for managing Model Context Protocol servers with automation, monitoring, and maintenance capabilities
kairin/88x2bu	public	2025-07-21T07:44:51Z	Linux Driver for USB WiFi Adapters that are based on the RTL8812BU and RTL8822BU Chipsets - v5.13.1
kairin/ANUS	public	2025-09-05T07:29:35Z	HAHAHAHAHAHA
kairin/Anthias	public	2025-03-04T16:11:05Z	The world's most popular open source digital signage project.
kairin/AppFlowy	public	2025-07-27T07:55:10Z	Bring projects, wikis, and teams together with AI. AppFlowy is the AI collaborative workspace where you achieve more without losing control of your data. The leading open source Notion alternative.
kairin/BCM-private	private	2026-01-15T10:13:41Z	
kairin/BasicSR	public	2025-01-24T14:31:20Z	Open Source Image and Video Restoration Toolbox for Super-resolution, Denoise, Deblurring, etc. Currently, it includes EDSR, RCAN, SRResNet, SRGAN, ESRGAN, EDVR, BasicVSR, SwinIR, ECBSR, etc. Also support StyleGAN2, DFDNet.
kairin/ComfyUI-Arc2Face	public	2025-01-01T16:39:22Z	comfyui custom nodes to support the Arc2Face diffusion model
kairin/ComfyUI-BrushNet	public	2024-10-19T12:06:17Z	ComfyUI BrushNet nodes
kairin/ComfyUI-Dwpose-Tensorrt	public	2025-04-27T20:19:33Z	Ultra fast dwpose estimation inside comfyui using tensorrt
kairin/ComfyUI-Facerestore-Tensorrt	public	2025-04-27T20:19:26Z	Tensorrt implementation for ultra fast face restoration inside ComfyUI
kairin/ComfyUI-FlashFace	public	2024-11-11T14:52:22Z	ComfyUI Node for FlashFace
kairin/ComfyUI-Model-Manager	public	2025-05-03T01:04:11Z	Manage models: browsing, donwload and delete.
kairin/ComfyUI-ReActor	public	2025-05-03T02:15:39Z	Fast and Simple Face Swap Extension Node for ComfyUI (SFW)
kairin/ComfyUI-Rife-Tensorrt	public	2025-04-27T20:19:20Z	Ultra fast frame interpolation using Rife Tensorrt inside ComfyUI
kairin/ComfyUI-YoloNasPose-Tensorrt	public	2025-04-27T20:19:13Z	ComfyUI ultra fast (100+ FPS) pose estimation custom node (licensed under CC BY-NC-SA)
kairin/ComfyUI_DiffusionModel_fp8_converter	public	2024-11-10T19:55:41Z	A custom ComfyUI node for models/clips fp8 converter
kairin/ComfyUI_FaceAnalysis	public	2025-01-26T19:38:31Z	Extension for ComfyUI to evaluate the similarity between two faces
kairin/ComfyUI_IPAdapter__plus	public	2025-01-26T19:36:44Z	ComfyUI_IPAdapter_plus --> ComfyUI_IPAdapter__plus
kairin/ComfyUI_InstantID	public	2025-01-26T19:37:48Z	
kairin/ComfyUI_TensorRT	public	2025-04-27T20:19:59Z	
kairin/ControlNet-diff-modules	private	2024-10-12T12:31:42Z	
kairin/DeepResearchAgent	public	2025-09-18T21:38:39Z	🤖 Hierarchical Multi-Agent Framework for Research and Analysis | TUI Development & Advanced Documentation System
kairin/Diffusion-Super-Resolution	public	2025-05-03T01:14:11Z	[CVPR 2023] Guided Depth Super-Resolution by Deep Anisotropic Diffusion
kairin/ETL-1-0	private	2025-07-30T12:26:14Z	Email and Excel ETL Processing System with Dagster and Plane integration
kairin/EasyOCR	public	2025-10-01T00:08:31Z	Ready-to-use OCR with 80+ supported languages and all popular writing scripts including Latin, Chinese, Arabic, Devanagari, Cyrillic and etc.
kairin/FormSG	public	2025-09-18T00:24:27Z	Form builder for the Singapore Government
kairin/GFPGAN	public	2025-01-24T14:30:53Z	GFPGAN aims at developing Practical Algorithms for Real-world Face Restoration.
kairin/HiDream-I1	public	2025-04-11T23:28:39Z	
kairin/HiDream-I1-nf4	public	2025-04-11T23:29:23Z	4Bit Quantized Model for HiDream I1
kairin/INT-FlashAttention	public	2024-11-02T12:15:14Z	
kairin/Install-OpenCV-Jetson-AGX-Orin	public	2025-08-22T09:08:43Z	OpenCV installation script with CUDA and cuDNN support - just to update to install into ORIN.
kairin/JEP	public	2025-01-01T01:39:38Z	
